feature,gain
grid_squared,62.73955478536516
driver_career_races,4.554611178748102
top_three,3.282441256639232
veteran_new_circuit,2.710833359325336
grid_sqrt,1.6844982671661861
GridPosition,1.6802738907128592
DriverId_encoded,1.554123407809557
year_first_raced,1.4480312207104276
circuit_improved_pct,1.351351709040971
track_length_km,1.3268712034376378
DriverId_target_enc,1.2982987838373796
circuit_encoded,1.1661719089537073
driver_best_finish_last_5,1.1651130662821678
driver_avg_position_change_5,1.1290975613564596
DriverId_freq,1.0838519404167464
circuit_var_pos_change,0.9742832142150135
top_ten,0.7866924536881194
championship_gap_leader,0.7405620957093082
covid_affected,0.6516754946023032
form_x_contention,0.5582389017740683
driver_avg_finish_at_circuit,0.5548627434730117
circuit_top3_win_rate,0.49834139597612565
grid_side_clean,0.48759794717957683
altitude_m,0.45264400160929674
TeamId_encoded,0.3966665118937761
team_position_change_avg_5,0.30265234319486256
grid_log,0.29508837653298314
driver_avg_finish_season,0.29479646410463156
team_last3_avg_finish,0.29449165526783505
circuit_freq,0.28981508665504463
circuit_std_pos_change,0.26795406546265943
grid_row,0.23832434404375186
team_dnf_rate_last_10,0.21739197272764021
team_points_total,0.1970422488105391
early_x_variance,0.16370984612765704
front_row,0.15444578529483374
driver_avg_finish_last_5,0.14480265650176888
grid_x_low_df,0.13160107182734979
early_season,0.1251139011832344
high_altitude,0.11507907485774273
late_season,0.10664041319868245
grid_x_overtaking,0.1045429787347951
years_into_regulations,0.10351627070625939
team_points_last_5,0.10151692351576498
reliability_x_circuit_dnf,0.1000721349801989
driver_best_finish_at_circuit,0.08399205991195605
team_last5_avg_change,0.08029426108805392
experience_x_chaos,0.0759329768418238
overtaking_difficulty_index,0.07184772885231841
team_vs_average_grid,0.07129994986274714
driver_hot_streak,0.07083076514574901
driver_consistency_last_5,0.07053305334683223
TeamName_target_enc,0.06916147910634585
driver_career_wins,0.06820983529512478
downforce_ordinal,0.06628387848758198
low_downforce,0.06483809705779696
driver_career_podiums,0.0633376672292541
team_performance_delta,0.06002572046237241
top3_x_street,0.06000492687588476
driver_in_contention,0.05506860133230783
races_remaining,0.05314791972937064
many_drs_zones,0.052368366190299345
team_avg_finish,0.05180538646432472
teammate_avg_grid_diff,0.05133313867085637
grid_cubed,0.050756074947921746
team_form_trend,0.049517695025460086
circuit_pole_win_rate,0.045381782278935724
race_number,0.03994860779873047
post_2022,0.03670977029929533
circuit_dnf_rate,0.036084545775722066
circuit_avg_pos_change,0.034656224316205304
team_avg_grid,0.03406041323901994
circuit_correlation,0.03390056012964799
longest_straight_m,0.03283013643093655
TeamName_encoded,0.027769635406357875
high_downforce,0.02751697384914002
typical_lap_time_s,0.026634430228717573
pole_at_processional,0.024609358617985883
team_podiums_season,0.022393410173602888
grid_x_pole_win_rate,0.02224674651201484
team_momentum,0.021209414004411013
num_turns,0.019776416210601597
team_last3_avg_change,0.01463678028018136
team_wins_season,0.014312723817464632
grid_x_team_delta,0.013040957141989586
frontrow_x_correlation,0.013006931778294472
team_worst_finish_last_5,0.011997670713299224
momentum_x_variance,0.011418513981691341
season_progress,0.010100396176822641
circuit_target_enc,0.009943227603268608
TeamName_freq,0.008433725602261669
team_avg_finish_last_3,0.008011563525105176
midfield_x_variance,0.007072202646782301
driver_avg_grid_season,0.006638689461376401
driver_points_last_5,0.0052827737505592755
teammate_avg_finish_diff,0.0038090490662132026
team_best_finish_last_5,0.0032740282076057785
is_season_finale,0.0027190731405979597
team_last5_avg_finish,0.0016983268995401258
mid_season,0.0011614995922368597
top_five,0.000933091829417485
driver_momentum,0.0008482438961964644
team_completion_rate_season,5.661004265157837e-05
is_circuit_specialist,0.0
driver_races_at_circuit,0.0
driver_vs_car_potential,0.0
driver_vs_teammate,0.0
driver_years_experience,0.0
back_half,0.0
back_x_variance,0.0
drs_zones,0.0
top3_x_high_df,0.0
late_contention_pressure,0.0
long_straight,0.0
is_rookie,0.0
is_veteran,0.0
team_races_since_podium,0.0
is_team_leader,0.0
is_street,0.0
team_avg_finish_last_5,0.0
is_season_opener,0.0
team_avg_grid_last_5,0.0
team_consistency,0.0
driver_points_season,0.0
