,win_prob,podium_prob,points_prob,top5_prob,sample_size
P1,0.0,0.0,1.0,0.0,1.0
P2,0.0,1.0,1.0,1.0,1.0
P3,0.0,1.0,1.0,1.0,1.0
P4,0.0,0.0,1.0,1.0,1.0
P5,0.0,0.0,1.0,1.0,1.0
P6,1.0,1.0,1.0,1.0,1.0
P7,0.0,0.0,1.0,0.0,1.0
P8,0.0,0.0,0.0,0.0,1.0
P9,0.0,0.0,1.0,0.0,1.0
P10,0.0,0.0,0.0,0.0,1.0
P11,0.0,0.0,1.0,0.0,1.0
P12,0.0,0.0,0.0,0.0,1.0
P13,0.0,0.0,1.0,0.0,1.0
P14,0.0,0.0,0.0,0.0,1.0
P16,0.0,0.0,0.0,0.0,1.0
P17,0.0,0.0,0.0,0.0,1.0
P18,0.0,0.0,0.0,0.0,1.0
P19,0.0,0.0,0.0,0.0,1.0
P20,0.0,0.0,0.0,0.0,1.0
